latin,tai_viet,tai_viet_sinh,nghia,trang,trang_thai
ai nao,ꪮꪱꪥ ꪘꪱꪫ,ꪮꪱꪥ ꪘꪱꪫ,hơi rét.,17,OK
ai náu,ꪮꪱꪥ ꪹꪙꪱ,ꪮꪱꪥ ꪹꪙꪱ,mùi thối.,17,OK
ai nhơng,ꪮꪱꪥ ꪹꪐꪷꪉ,ꪮꪱꪥ ꪹꪐꪷꪉ,"mùi lợm, tanh.",17,OK
ai nới,ꪮꪱꪥ ꪹꪘꪷꪠ,ꪮꪱꪥ ꪹꪘꪷꪠ,hơi mệt.,17,OK
ai ơn,ꪮꪱꪥ ꪹꪮꪷꪙ,ꪮꪱꪥ ꪹꪮꪷꪙ,mùi ươn.,17,OK
ai khọn,ꪮꪱꪥ ꪅꪮꪙ,ꪮꪱꪥ ꪅꪮꪙ,mùi thuốc.,17,OK
ai pị,ꪮꪱꪥ ꪝꪲ,ꪮꪱꪥ ꪝꪲ,hơi béo.,17,OK
ai van,ꪮꪱꪥ ꪪꪱꪙ,ꪮꪱꪥ ꪪꪱꪙ,hơi ngọt.,17,OK
ai vang,ꪮꪱꪥ ꪪꪱꪉ,ꪮꪱꪥ ꪪꪱꪉ,hơi rỗi,17,OK
ai xủm,ꪮꪱꪥ ꪎꪣꪴ,ꪮꪱꪥ ꪎꪣꪴ,hơi chua.,17,OK
ải,ꪮꪱꪥ,ꪮꪱꪥ,cha.,17,OK
ải lụk,ꪮꪱꪥ ꪩꪀꪴ,ꪮꪱꪥ ꪩꪀꪴ,cha con.,17,OK
ải thảu,ꪮꪱꪥ ꪹꪖꪱ,ꪮꪱꪥ ꪹꪖꪱ,cha già.,17,OK
ảiý,,,cha mẹ.,17,DAP_AN_CUT_CAN_SOAT
ái noọng,ꪯꪱꪥ ꪙꪮꪉ,ꪯꪱꪥ ꪙꪮꪉ,"anh em, chị em.",18,OK
ái pặư,ꪯꪱꪥ ꪻꪝ,ꪯꪱꪥ ꪻꪝ,chị dâu.,18,OK
an,ꪮꪱꪙ,ꪮꪱꪙ,"yên, bình an.",18,OK
an hảo,ꪮꪱꪙ ꪬꪱꪫ,ꪮꪱꪙ ꪬꪱꪫ,yên ổn.,18,OK
an mạ,ꪮꪱꪙ ꪣꪱ,ꪮꪱꪙ ꪣꪱ,yên ngựa.,18,OK
án,ꪮꪱꪙ,ꪮꪱꪙ,"đọc, xem.",18,OK
án xan,ꪮꪱꪙ ꪎꪱꪙ,ꪮꪱꪙ ꪎꪱꪙ,xem thư.,18,OK
án xư,,ꪮꪱꪙ ꪎꪳ,đọc chừ.,18,DAP_AN_CUT_CAN_SOAT
ang ớc,ꪮꪱꪉ ꪹꪮꪷꪀ,ꪮꪱꪉ ꪹꪮꪷꪀ,lồng ngực.,18,OK
ảng,ꪮꪱꪉ,ꪮꪱꪉ,"cậy, khoe",18,OK
ảng chẹn,ꪮꪱꪉ ꪵꪋꪙ,ꪮꪱꪉ ꪵꪋꪙ,cậy tiền,18,OK
ảng hắng,ꪮꪱꪉ ꪭꪉꪰ,ꪮꪱꪉ ꪭꪉꪰ,khoe giầu.,18,OK
ảng hẹng,ꪮꪱꪉ ꪵꪭꪉ,ꪮꪱꪉ ꪵꪭꪉ,cậy khỏe,18,OK
ảng khoong,ꪮꪱꪉ ꪄꪮꪉ,ꪮꪱꪉ ꪄꪮꪉ,khoe của.,18,OK
ảng khằn,ꪮꪱꪉ ꪃꪙ,ꪮꪱꪉ ꪃꪙ,khoe đẹp.,19,OK
ảng mị,ꪮꪱꪉ ꪣꪲ,ꪮꪱꪉ ꪣꪲ,khoe có.,19,OK
ảng tạo,,ꪮꪱꪉ ꪕꪱꪫ,cậy quyền.,19,DAP_AN_CUT_CAN_SOAT
áng,ꪮꪱꪉ,ꪮꪱꪉ,chậu.,19,OK
áng chôồng,ꪮꪱꪉ ꪶꪋꪉ,ꪮꪱꪉ ꪶꪋꪉ,chậu đựng.,19,OK
áng dểu,ꪮꪱꪉ ꪹꪤꪸꪫ,ꪮꪱꪉ ꪹꪤꪸꪫ,chậu sứ.,19,OK
áng đi,ꪮꪱꪉ ꪒꪲ,ꪮꪱꪉ ꪒꪲ,chậu tốt.,19,OK
áng đin,ꪮꪱꪉ ꪒꪲꪙ,ꪮꪱꪉ ꪒꪲꪙ,chậu gôm.,19,OK
áng hồk,ꪮꪱꪉ ꪶꪱꪭ,ꪮꪱꪉ ꪶꪱꪭ,chậu thủng.,19,OK
áng lôông,ꪮꪱꪉ ꪶꪓꪉ,ꪮꪱꪉ ꪶꪓꪉ,chậu to.,19,OK
áng mạy,ꪮꪱꪉ ꪼꪣ,ꪮꪱꪉ ꪼꪣ,chậu gỗ.,19,OK
áng nặm,ꪮꪱꪉ ꪙꪾ,ꪮꪱꪉ ꪙꪾ,chậu nước,19,OK
áng nhôm,ꪮꪱꪉ ꪶꪐꪣ,ꪮꪱꪉ ꪶꪐꪣ,chậu nhôm,19,OK
áng nhờ,ꪮꪱꪉ ꪹꪑꪷ,ꪮꪱꪉ ꪹꪑꪷ,chậu nhựa,19,OK
áng nọi,ꪮꪱꪉ ꪙꪮꪥ,ꪮꪱꪉ ꪙꪮꪥ,chậu nhỏ.,19,OK
áng páu,ꪮꪱꪉ ꪹꪜꪱ,ꪮꪱꪉ ꪹꪜꪱ,chậu không,19,OK
áng ték,ꪮꪱꪉ ꪹꪹꪔ,ꪮꪱꪉ ꪹꪹꪔ,chậu vỡ.,19,OK
áng toọng,ꪮꪱꪉ ꪕꪮꪉ,ꪮꪱꪉ ꪕꪮꪉ,chậu đồng.,19,OK
ao,ꪮꪱꪫ,ꪮꪱꪫ,chú.,19,OK
aoa,,,chú cô.,19,DAP_AN_CUT_CAN_SOAT
ao lan,ꪮꪱꪫ ꪨꪱꪙ,ꪮꪱꪫ ꪨꪱꪙ,chú cháu,20,OK
ao lả,ꪮꪱꪫ ꪨꪱ,ꪮꪱꪫ ꪨꪱ,chú út.,20,OK
ao lố,ꪮꪱꪫ ꪶꪩ,ꪮꪱꪫ ꪶꪩ,chú thím,20,OK
ao ók,ꪮꪱꪫ ꪮꪮꪀ,ꪮꪱꪫ ꪮꪮꪀ,chú ruột.,20,OK
áo,ꪮꪱꪫ,ꪮꪱꪫ,ước.,20,OK
áo coọng,ꪮꪱꪫ ꪁꪮꪉ,ꪮꪱꪫ ꪁꪮꪉ,ước mong,20,OK
áo đảy,ꪮꪱꪫ ꪼꪒ,ꪮꪱꪫ ꪼꪒ,ước được,20,OK
áo phăn,ꪮꪱꪫ ꪥꪽ,ꪮꪱꪫ ꪥꪽ,ước mơ.,20,OK
áo pin,ꪮꪱꪫ ꪤꪙ,ꪮꪱꪫ ꪤꪙ,ước thành.,20,OK
áp,ꪮꪱꪚ,ꪮꪱꪚ,"tắm, gội.",20,OK
áp da,ꪮꪱꪚ ꪤꪱ,ꪮꪱꪚ ꪤꪱ,tắm thuốc.,20,OK
áp dểu,ꪮꪱꪚ ꪹꪤꪸꪫ,ꪮꪱꪚ ꪹꪤꪸꪫ,sứ.,20,OK
áp din,ꪮꪱꪚ ꪤꪲꪙ,ꪮꪱꪚ ꪤꪲꪙ,tắm mát.,20,OK
áp hô,ꪮꪱꪚ ꪶꪬ,ꪮꪱꪚ ꪶꪬ,gội đầu.,20,OK
áp mố chêêng,ꪮꪱꪚ ꪶꪣ ꪹꪊꪸꪉ,ꪮꪱꪚ ꪶꪣ ꪹꪊꪸꪉ,tắm tất niên.,20,OK
áp mụm,ꪮꪱꪚ ꪣꪣꪴ,ꪮꪱꪚ ꪣꪣꪴ,tắm xong.,20,OK
áp nàm,ꪮꪱꪚ ꪣꪱꪣ,ꪮꪱꪚ ꪣꪱꪣ,tắm bùn.,20,OK
áp nặm,ꪮꪱꪚ ꪙꪾ,ꪮꪱꪚ ꪙꪾ,tăm nước.,20,OK
áp tá,ꪮꪱꪚ ꪕꪱ,ꪮꪱꪚ ꪕꪱ,tắm suối,21,OK
áp xăư,ꪮꪱꪚ ꪻꪎ,ꪮꪱꪚ ꪻꪎ,tẩm sạch,21,OK
áp xới,ꪮꪱꪚ ꪹꪎꪰꪥ,ꪮꪱꪚ ꪹꪎꪰꪥ,tắm rửa.,21,OK
au,ꪹꪮꪱ,ꪹꪮꪱ,lấy.,21,OK
au căn,ꪹꪮꪱ ꪀꪽ,ꪹꪮꪱ ꪀꪽ,lấy nhau,21,OK
au chẹn,ꪹꪮꪱ ꪵꪋꪙ,ꪹꪮꪱ ꪵꪋꪙ,lấy tiền,21,OK
au chờng,ꪹꪮꪱ ꪹꪋꪷꪉ,ꪹꪮꪱ ꪹꪋꪷꪉ,lấy hàng,21,OK
au cớn,ꪹꪮꪱ ꪹꪀꪷꪙ,ꪹꪮꪱ ꪹꪀꪷꪙ,lấy trước,21,OK
au dúng,ꪹꪮꪱ ꪤꪉꪴ,ꪹꪮꪱ ꪤꪉꪴ,lấy dùng,21,OK
au đảy,ꪹꪮꪱ ꪼꪒ,ꪹꪮꪱ ꪼꪒ,lấy được,21,OK
au fô,ꪹꪮꪱ ꪶꪞ,ꪹꪮꪱ ꪶꪞ,lấy chồng,21,OK
au hẻng,ꪹꪮꪱ ꪵꪬꪉ,ꪹꪮꪱ ꪵꪬꪉ,uống cạn.,21,OK
au ỉn,ꪹꪮꪱ ꪮꪲꪙ,ꪹꪮꪱ ꪮꪲꪙ,lấy chơi,21,OK
au khai,ꪹꪮꪱ ꪄꪱꪥ,ꪹꪮꪱ ꪄꪱꪥ,đem bán.,21,OK
au lăng,ꪹꪮꪱ ꪨꪉꪰ,ꪹꪮꪱ ꪨꪉꪰ,lấy sau.,21,OK
au lô,ꪹꪮꪱ ꪶꪨ,ꪹꪮꪱ ꪶꪨ,lấy cui.,22,OK
au mạ,ꪹꪮꪱ ꪣꪱ,ꪹꪮꪱ ꪣꪱ,lấy về.,22,OK
au mạy,ꪹꪮꪱ ꪼꪣ,ꪹꪮꪱ ꪼꪣ,lấy gồ.,22,OK
au mệ,ꪹꪮꪱ ꪹꪣꪸ,ꪹꪮꪱ ꪹꪣꪸ,lấy vợ.,22,OK
au mết,ꪹꪮꪱ ꪹꪢꪸꪒ,ꪹꪮꪱ ꪹꪢꪸꪒ,lấy hết.,22,OK
au mớ,ꪹꪮꪱ ꪹꪢꪷ,ꪹꪮꪱ ꪹꪢꪷ,lấy nữa.,22,OK
au nặm,ꪹꪮꪱ ꪙꪾ,ꪹꪮꪱ ꪙꪾ,lấy nước,22,OK
au nọi,ꪹꪮꪱ ꪙꪮꪥ,ꪹꪮꪱ ꪙꪮꪥ,lấy ít.,22,OK
au nùng,ꪹꪮꪱ ꪙꪉꪴ,ꪹꪮꪱ ꪙꪉꪴ,lấy mặc.,22,OK
au pay,ꪹꪮꪱ ꪼꪜ,ꪹꪮꪱ ꪼꪜ,lấy đi.,22,OK
au pọ,ꪹꪮꪱ ꪝꪷ,ꪹꪮꪱ ꪝꪷ,lấy đủ.,22,OK
au tẹn,ꪹꪮꪱ ꪵꪕꪙ,ꪹꪮꪱ ꪵꪕꪙ,lấy thêm,22,OK
au xăng,ꪹꪮꪱ ꪎꪉꪰ,ꪹꪮꪱ ꪎꪉꪰ,lấy gì?,22,OK
au xeo,ꪹꪮꪱ ꪵꪎꪫ,ꪹꪮꪱ ꪵꪎꪫ,lấy theo,22,OK
au xê,ꪹꪮꪱ ꪹꪎꪸ,ꪹꪮꪱ ꪹꪎꪸ,lấy mất.,22,OK
ay,ꪼꪮ,ꪼꪮ,ho.,22,OK
ay cặt,ꪼꪮ ꪁꪒꪰ,ꪼꪮ ꪁꪒꪰ,ho tức.,22,OK
ay chếp,ꪼꪮ ꪹꪊꪸꪚ,ꪼꪮ ꪹꪊꪸꪚ,ho đau.,22,OK
ay khoọc khoọc,,,ho sù sụ.,23,DAP_AN_CUT_CAN_SOAT
ay khôồng khôồng,,ꪼꪮ ꪶꪅꪉ ꪶꪅꪉ,ho sặc sụa.,23,DAP_AN_CUT_CAN_SOAT
ay lai,ꪼꪮ ꪨꪱꪥ,ꪼꪮ ꪨꪱꪥ,ho nhiều.,23,OK
ay nắc,ꪼꪮ ꪢꪀꪰ,ꪼꪮ ꪢꪀꪰ,ho nặng.,23,OK
ay ók lợt,ꪼꪮ ꪮꪮꪀ ꪹꪩꪷꪒ,ꪼꪮ ꪮꪮꪀ ꪹꪩꪷꪒ,ho ra máu.,23,OK
ay pót,ꪼꪮ ꪜꪮꪒ,ꪼꪮ ꪜꪮꪒ,ho do viêm phế quản.,23,OK
ăn,ꪮꪽ,ꪮꪽ,"cái, chiếc",23,OK
ăn cáu,ꪮꪽ ꪹꪀꪱ,ꪮꪽ ꪹꪀꪱ,cái cũ.,23,OK
ăn đăư,ꪮꪽ ꪻꪒ,ꪮꪽ ꪻꪒ,cái nào?,23,OK
ăn đêu,ꪮꪽ ꪹꪒꪸꪫ,ꪮꪽ ꪹꪒꪸꪫ,mỗi cái.,23,OK
ăn đi,ꪮꪽ ꪒꪲ,ꪮꪽ ꪒꪲ,cái tốt.,23,OK
ăn hài,ꪮꪽ ꪭꪱꪥ,ꪮꪽ ꪭꪱꪥ,cái xấu.,23,OK
ăn lôông,ꪮꪽ ꪶꪨꪉ,ꪮꪽ ꪶꪨꪉ,cái to.,23,OK
ăn mắư,ꪮꪽ ꪻꪘ,ꪮꪽ ꪻꪘ,cái khác,23,OK
ăn nằn,ꪮꪽ ꪙꪽ,ꪮꪽ ꪙꪽ,cái kia.,23,OK
ăn nị,ꪮꪽ ꪙꪲ,ꪮꪽ ꪙꪲ,cái này.,23,OK
ăn nọi,ꪮꪽ ꪙꪮꪥ,ꪮꪽ ꪙꪮꪥ,cái nhỏ.,23,OK
ăn nứng,ꪮꪽ ꫜ,ꪮꪽ ꫜ,một cái.,24,OK
ăn ứn,ꪮꪽ ꪮꪙꪳ,ꪮꪽ ꪮꪙꪳ,cái khác.,24,OK
ắn,ꪮꪽ,ꪮꪽ,"ngấy, rúc, rất.",24,OK
ắn coong,ꪮꪽ ꪀꪮꪉ,ꪮꪽ ꪀꪮꪉ,rất lẳm.,24,OK
ắn hưng,ꪮꪽ ꪬꪉꪳ,ꪮꪽ ꪬꪉꪳ,rất lâu.,24,OK
ắn lai,ꪮꪽ ꪨꪱꪥ,ꪮꪽ ꪨꪱꪥ,rất nhiều.,24,OK
bả,ꪚꪱ,ꪚꪱ,"điên, thằng.",25,OK
bả chà,ꪚꪱ ꪋꪱ,ꪚꪱ ꪋꪱ,điên rồ.,25,OK
bả lảu,ꪚꪱ ꪹꪨꪱ,ꪚꪱ ꪹꪨꪱ,điên rượu.,25,OK
bả mạu,ꪚꪱ ꪹꪣꪱ,ꪚꪱ ꪹꪣꪱ,điên say.,25,OK
bả nằn,ꪚꪱ ꪙꪽ,ꪚꪱ ꪙꪽ,thằng ấy.,25,OK
bả nị,ꪚꪱ ꪙꪲ,ꪚꪱ ꪙꪲ,thằng này.,25,OK
bá,ꪚꪱ,ꪚꪱ,"đổ, vai.",25,OK
bá chếp,ꪚꪱ ꪹꪊꪸꪚ,ꪚꪱ ꪹꪊꪸꪚ,vai đau.,25,OK
bá lụng,ꪚꪱ ꪩꪉꪴ,ꪚꪱ ꪩꪉꪴ,đổ xuống.,25,OK
bá mết,ꪚꪱ ꪹꪘꪸꪒ,ꪚꪱ ꪹꪘꪸꪒ,đổ hết.,25,OK
bá mới,ꪚꪱ ꪹꪣꪷꪥ,ꪚꪱ ꪹꪣꪷꪥ,vai mỏi.,25,OK
bá tôốc,ꪚꪱ ꪶꪔꪀ,ꪚꪱ ꪶꪔꪀ,đổ rơi.,25,OK
bái,ꪚꪱꪥ,ꪚꪱꪥ,trộn.,25,OK
bái khảu,ꪚꪱꪥ ꪹꪂꪱ,ꪚꪱꪥ ꪹꪂꪱ,trộn cơm.,26,OK
bái nhẳm,ꪚꪱꪥ ꪐꪾ,ꪚꪱꪥ ꪐꪾ,trộn thịt.,26,OK
bái pa,ꪚꪱꪥ ꪜꪱ,ꪚꪱꪥ ꪜꪱ,trộn cá.,26,OK
bái tsáy,ꪚꪱꪥ ꪼꪌ,ꪚꪱꪥ ꪼꪌ,trộn trứng.,26,OK
bại,ꪛꪱꪥ,ꪛꪱꪥ,bài.,26,OK
bại ép,ꪛꪱꪥ ꪵꪮꪚ,ꪛꪱꪥ ꪵꪮꪚ,bài học.,26,OK
bại khắp,ꪛꪱꪥ ꪄꪚꪾ,ꪛꪱꪥ ꪄꪚꪾ,bài hát.,26,OK
bại xan,ꪛꪱꪥ ꪎꪱꪙ,ꪛꪱꪥ ꪎꪱꪙ,bài văn.,26,OK
bák,ꪚꪱꪀ,ꪚꪱꪀ,tử cung.,26,OK
ban,ꪚꪱꪙ,ꪚꪱꪙ,"bừa, chiếc, cái.",26,OK
ban cúp,ꪚꪱꪙ ꪀꪚꪴ,ꪚꪱꪙ ꪀꪚꪴ,chiếc nón.,26,OK
ban đủng,ꪚꪱꪙ ꪒꪉꪴ,ꪚꪱꪙ ꪒꪉꪴ,chiếc mẹt.,26,OK
ban háy,ꪚꪱꪙ ꪼꪭ,ꪚꪱꪙ ꪼꪭ,bừa nương,26,OK
ban nạ,ꪚꪱꪙ ꪙꪱ,ꪚꪱꪙ ꪙꪱ,bừa ruộng,26,OK
ban nhả,ꪚꪱꪙ ꪐꪱ,ꪚꪱꪙ ꪐꪱ,bừa cỏ.,26,OK
ban nháp,ꪚꪱꪙ ꪐꪱꪚ,ꪚꪱꪙ ꪐꪱꪚ,bừa lượt đầu.,26,OK
ban pát,ꪚꪱꪙ ꪜꪱꪒ,ꪚꪱꪙ ꪜꪱꪒ,cái thớt,27,OK
ban thay,ꪚꪱꪙ ꪼꪖ,ꪚꪱꪙ ꪼꪖ,cày bừa.,27,OK
ban tsưng,ꪚꪱꪙ ꪌꪉ,ꪚꪱꪙ ꪌꪉ,cái sàng.,27,OK
bản,ꪚꪱꪙ,ꪚꪱꪙ,bản.,27,OK
bản cáu,ꪚꪱꪙ ꪹꪀꪱ,ꪚꪱꪙ ꪹꪀꪱ,bản cũ.,27,OK
bản dào,ꪚꪱꪙ ꪥꪱꪫ,ꪚꪱꪙ ꪥꪱꪫ,bản Dao.,27,OK
bản dẳng,ꪚꪱꪙ ꪤꪰꪉ,ꪚꪱꪙ ꪤꪰꪉ,bản Giáy.,27,OK
bản đắc,,ꪚꪱꪙ ꪒꪀꪰ,bản xa.,27,DAP_AN_CUT_CAN_SOAT
bản hạu,ꪚꪱꪙ ꪹꪭꪱ,ꪚꪱꪙ ꪹꪭꪱ,bản ta.,27,OK
bản hắngk,ꪚꪱꪙ ꪭꪉꪰ,ꪚꪱꪙ ꪭꪉꪰ,ban giàu,27,OK
bản khỏ,ꪚꪱꪙ ꪂꪰ,ꪚꪱꪙ ꪂꪰ,bản nghèo,27,OK
bản lôông,ꪚꪱꪙ ꪶꪨꪉ,ꪚꪱꪙ ꪶꪨꪉ,bán to.,27,OK
bản mắư,ꪚꪱꪙ ꪻꪢ,ꪚꪱꪙ ꪻꪢ,bản mới.,27,OK
bản mông,ꪚꪱꪙ ꪹꪹꪣꪫ,ꪚꪱꪙ ꪹꪹꪣꪫ,bản Mông,27,OK
bản mượng,ꪚꪱꪙ ꪹꪣꪉ,ꪚꪱꪙ ꪹꪣꪉ,bán mường,27,OK
bản nạ,ꪚꪱꪙ ꪙꪱ,ꪚꪱꪙ ꪙꪱ,địa phương,27,OK
bản nọi,ꪚꪱꪙ ꪙꪮꪥ,ꪚꪱꪙ ꪙꪮꪥ,bản nhỏ.,27,OK
bản nơ,ꪚꪱꪙ ꪹꪘꪰ,ꪚꪱꪙ ꪹꪘꪰ,bản trên,27,OK
bản tạy,ꪚꪱꪙ ꪼꪕ,ꪚꪱꪙ ꪼꪕ,bản Thái,27,OK
bán,ꪚꪱꪙ,ꪚꪱꪙ,mẻ.,28,OK
bán chóp,ꪚꪱꪙ ꪊꪮꪚ,ꪚꪱꪙ ꪊꪮꪚ,mé cuốc,28,OK
bán cứ,ꪚꪱꪙ ꪀꪳ,ꪚꪱꪙ ꪀꪳ,mẻ cưa.,28,OK
bán đáp,ꪚꪱꪙ ꪒꪱꪚ,ꪚꪱꪙ ꪒꪱꪚ,mẻ gươm,28,OK
bán khan,ꪚꪱꪙ ꪄꪱꪚ,ꪚꪱꪙ ꪄꪱꪚ,me búa.,28,OK
bán xa,ꪚꪱꪙ ꪎꪱ,ꪚꪱꪙ ꪎꪱ,mẻ dao.,28,OK
bán xíu,ꪚꪱꪙ ꪎꪲꪫ,ꪚꪱꪙ ꪎꪲꪫ,mẻ đục.,28,OK
bạn căn,ꪛꪱꪙ ꪀꪽ,ꪛꪱꪙ ꪀꪽ,bàn nhau,28,OK
bạn vệk,ꪛꪱꪙ ꪹꪫꪸꪀ,ꪛꪱꪙ ꪹꪫꪸꪀ,bàn việc.,28,OK
bang,ꪚꪱꪉ,ꪚꪱꪉ,mỏng.,28,OK
bang bau,ꪚꪱꪉ ꪹꪚꪱ,ꪚꪱꪉ ꪹꪚꪱ,mỏng nhẹ.,28,OK
bang lai,ꪚꪱꪉ ꪨꪱꪥ,ꪚꪱꪉ ꪨꪱꪥ,mỏng quá.,28,OK
bang ón,ꪚꪱꪉ ꪮꪮꪙ,ꪚꪱꪉ ꪮꪮꪙ,mỏng mềm (chất liệu).,28,OK
bảng,ꪚꪱꪉ,ꪚꪱꪉ,chiếc.,28,OK
bảng chẽn,ꪚꪱꪉ ꪹꪹꪊꪙ,ꪚꪱꪉ ꪹꪹꪊꪙ,chiếc bát.,28,OK
bảng hợ,ꪚꪱꪉ ꪹꪷꪭ,ꪚꪱꪉ ꪹꪷꪭ,chiếc thuyền,29,OK
bảng lảu,ꪚꪱꪉ ꪹꪨꪱ,ꪚꪱꪉ ꪹꪨꪱ,chén rượu,29,OK
bảng le,ꪚꪱꪉ ꪵꪨ,ꪚꪱꪉ ꪵꪨ,chiếc đĩa.,29,OK
bảng năm,ꪚꪱꪉ ꪙꪾ,ꪚꪱꪉ ꪙꪾ,chén nước,29,OK
bảng thổi,ꪚꪱꪉ ꪶꪖꪥ,ꪚꪱꪉ ꪶꪖꪥ,bát tô.,29,OK
báng,ꪚꪱꪉ,ꪚꪱꪉ,"háng, khoang",29,OK
báng kha,ꪚꪱꪉ ꪄꪱ,ꪚꪱꪉ ꪄꪱ,háng chân,29,OK
báng ngó,ꪚꪱꪉ ꪉꪰ,ꪚꪱꪉ ꪉꪰ,cầy bay.,29,OK
bao,ꪚꪱꪫ,ꪚꪱꪫ,đai.,29,OK
